Date,EstTotalActive,EstOnActive,EstOffActive,EstEmpActive,Cumulative
2020-03-20,2,0,2,0,2
2020-03-21,2,0,2,0,2
2020-03-22,2,0,2,0,2
2020-03-23,3,0,3,0,3
2020-03-24,3,0,3,0,3
2020-03-25,3,0,3,0,3
2020-03-26,3,0,3,0,3
2020-03-27,3,0,3,0,3
2020-03-28,3,0,3,0,3
2020-03-29,3,0,3,0,3
2020-03-30,3,0,3,0,3
2020-03-31,1,0,1,0,3
2020-04-01,1,0,1,0,3
2020-04-02,2,0,1,1,4
2020-04-03,1,0,0,1,4
2020-04-04,1,0,0,1,4
2020-04-05,1,0,0,1,4
2020-04-06,1,0,0,1,4
2020-04-07,1,0,0,1,4
2020-04-08,1,0,0,1,4
2020-04-09,1,0,0,1,4
2020-04-10,1,0,0,1,4
2020-04-11,1,0,0,1,4
2020-04-12,1,0,0,1,4
2020-04-13,0,0,0,0,4
2020-04-14,0,0,0,0,4
2020-04-15,0,0,0,0,4
2020-04-16,0,0,0,0,4
2020-04-17,0,0,0,0,4
2020-04-18,0,0,0,0,4
2020-04-19,0,0,0,0,4
2020-04-20,0,0,0,0,4
2020-04-21,0,0,0,0,4
2020-04-22,0,0,0,0,4
2020-04-23,0,0,0,0,4
2020-04-24,0,0,0,0,4
2020-04-25,0,0,0,0,4
2020-04-26,0,0,0,0,4
2020-04-27,0,0,0,0,4
2020-04-28,0,0,0,0,4
2020-04-29,0,0,0,0,4
2020-04-30,0,0,0,0,4
2020-05-01,0,0,0,0,4
2020-05-02,0,0,0,0,4
2020-05-03,0,0,0,0,4
2020-05-04,0,0,0,0,4
2020-05-05,0,0,0,0,4
2020-05-06,0,0,0,0,4
2020-05-07,0,0,0,0,4
2020-05-08,0,0,0,0,4
2020-05-09,0,0,0,0,4
2020-05-10,0,0,0,0,4
2020-05-11,0,0,0,0,4
2020-05-12,0,0,0,0,4
2020-05-13,0,0,0,0,4
2020-05-14,0,0,0,0,4
2020-05-15,0,0,0,0,4
2020-05-16,0,0,0,0,4
2020-05-17,0,0,0,0,4
2020-05-18,0,0,0,0,4
2020-05-19,0,0,0,0,4
2020-05-20,0,0,0,0,4
2020-05-21,0,0,0,0,4
2020-05-22,0,0,0,0,4
2020-05-23,0,0,0,0,4
2020-05-24,0,0,0,0,4
2020-05-25,0,0,0,0,4
2020-05-26,0,0,0,0,4
2020-05-27,0,0,0,0,4
2020-05-28,0,0,0,0,4
2020-05-29,0,0,0,0,4
2020-05-30,0,0,0,0,4
2020-05-31,0,0,0,0,4
2020-06-01,0,0,0,0,4
2020-06-02,0,0,0,0,4
2020-06-03,0,0,0,0,4
2020-06-04,0,0,0,0,4
2020-06-05,0,0,0,0,4
2020-06-06,0,0,0,0,4
2020-06-07,0,0,0,0,4
2020-06-08,1,0,0,1,5
2020-06-09,2,0,1,1,6
2020-06-10,2,0,1,1,6
2020-06-11,2,0,1,1,6
2020-06-12,2,0,1,1,6
2020-06-13,4,0,2,2,8
2020-06-14,4,0,2,2,8
2020-06-15,4,0,2,2,8
2020-06-16,10,1,7,2,14
2020-06-17,11,1,7,3,15
2020-06-18,11,1,7,3,15
2020-06-19,10,1,7,2,15
2020-06-20,12,2,8,2,18
2020-06-21,12,2,8,2,18
2020-06-22,14,2,8,4,20
2020-06-23,17,2,8,7,23
2020-06-24,16,2,8,6,24
2020-06-25,16,2,8,6,24
2020-06-26,16,2,8,6,24
2020-06-27,10,1,3,6,24
2020-06-28,11,1,4,6,26
2020-06-29,11,1,4,6,26
2020-06-30,14,1,4,9,29
2020-07-01,14,1,3,10,32
2020-07-02,16,2,3,11,34
2020-07-03,16,2,3,11,36
2020-07-04,13,2,3,8,36
2020-07-05,12,2,2,8,36
2020-07-06,12,2,2,8,36
2020-07-07,12,2,2,8,36
2020-07-08,16,2,6,8,40
2020-07-09,16,2,5,9,42
2020-07-10,18,2,6,10,44
2020-07-11,15,2,6,7,44
2020-07-12,12,1,5,6,44
2020-07-13,10,0,5,5,44
2020-07-14,13,1,8,4,49
2020-07-15,13,1,8,4,49
2020-07-16,13,1,8,4,49
2020-07-17,13,1,8,4,49
2020-07-18,13,1,8,4,49
2020-07-19,9,1,4,4,49
2020-07-20,8,1,4,3,50
2020-07-21,6,1,3,2,50
2020-07-22,8,1,4,3,52
2020-07-23,10,1,6,3,54
2020-07-24,11,1,6,4,55
2020-07-25,7,0,3,4,56
2020-07-26,7,0,3,4,56
2020-07-27,10,2,4,4,59
2020-07-28,10,2,4,4,59
2020-07-29,10,2,4,4,59
2020-07-30,14,2,4,8,63
2020-07-31,14,2,5,7,64
2020-08-01,14,2,5,7,64
2020-08-02,12,2,4,6,64
2020-08-03,10,2,2,6,64
2020-08-04,9,2,2,5,64
2020-08-05,9,2,2,5,65
2020-08-06,13,2,4,7,69
2020-08-07,10,0,3,7,69
2020-08-08,11,0,4,7,70
2020-08-09,13,1,5,7,72
2020-08-10,10,2,5,3,73
2020-08-11,9,2,4,3,73
2020-08-12,12,4,5,3,76
2020-08-13,12,4,5,3,76
2020-08-14,13,4,5,4,77
2020-08-15,13,4,5,4,77
2020-08-16,13,4,5,4,78
2020-08-17,10,5,3,2,79
2020-08-18,11,5,3,3,80
2020-08-19,16,9,3,4,86
2020-08-20,16,9,2,5,88
2020-08-21,15,8,2,5,88
2020-08-22,16,8,3,5,89
2020-08-23,15,8,2,5,91
2020-08-24,15,8,2,5,91
2020-08-25,23,12,6,5,100
2020-08-26,35,18,12,5,112
2020-08-27,47,22,21,4,125
2020-08-28,55,26,25,4,134
2020-08-29,76,41,31,4,156
2020-08-30,78,43,32,3,164
2020-08-31,97,52,43,2,185
2020-09-01,110,57,51,2,198
2020-09-02,140,76,62,2,229
2020-09-03,154,84,68,2,245
